,Unnamed: 0,French,English
0,0,histoire,history
1,1,chercher,search
2,3,police,police
3,4,pensais,thought
4,5,aide,help
5,6,demande,request
6,8,frÃƒÂ¨re,brother
7,9,laisser,let
8,11,aucun,no
9,13,eux,them
10,14,ville,city
11,15,chaque,each
12,16,arrivÃƒÂ©,come
13,17,longtemps,long time
14,19,vont,will
15,20,pendant,while
16,21,aucune,any
17,22,place,square
18,23,parle,speak
19,24,compris,understood
20,25,savais,knew
21,26,ÃƒÂ©taient,were
22,27,attention,Warning
23,28,voici,here is
24,29,affaire,case
25,30,donner,give
26,31,type,type
27,32,leurs,their
28,33,donnÃƒÂ©,given
29,34,train,train
30,35,corps,body
31,36,endroit,place
32,38,faÃƒÂ§on,way
33,39,ÃƒÂ©coute,listen
34,41,trouve,find
35,42,premier,first
36,44,premiÃƒÂ¨re,first
37,45,cÃƒÂ´tÃƒÂ©,side
38,46,pouvoir,power
39,47,vieux,old
40,48,sois,be
41,49,tiens,here
42,50,matin,morning
43,51,tellement,so much
44,52,enfant,child
45,53,point,point
46,54,venu,came
47,55,suite,after
48,56,pardon,sorry
49,57,venez,come
50,58,devant,in front of
51,59,vers,towards
52,61,demandÃƒÂ©,request
53,62,chambre,bedroom
54,63,mis,placed
55,64,belle,beautiful
56,65,aujourd'hui,today
57,67,cause,cause
58,68,enfin,finally
59,69,espÃƒÂ¨re,hope
60,70,eau,water
61,71,attendez,Wait
62,72,parti,left
63,73,nouvelle,new
64,74,boulot,job
65,75,arrÃƒÂªter,Stop
66,76,dirait,would say
67,77,terre,Earth
68,78,compte,account
69,79,donne,given
70,80,loin,far
71,81,fin,end
72,82,croire,believe
73,83,chÃƒÂ©rie,sweetheart
74,84,gros,large
75,86,aura,will have
76,87,filles,girls
